FABRICANTE_ID;FABRICANTE
1575016707;AERO BOERO
2535093609;AERO COMMANDER
2213500814;AEROALCOOL TECNOLOGIA LTDA
1010041440;AEROBRAVO
651754932;AEROBRAVO INDÚSTRIA AERONÁUTICA LTDA
1274071426;AEROBRAVO LTDA
1885767937;AEROCENTRO AERONAVES
3263444504;AEROMOT
326985515;AEROSPATIALE AND ALENIA
2823799722;AEROTEC
3526392348;AGUSTA
3339222625;AHD
299920790;AILTON MARTINS DE OLIVEIRA
1491293955;AIR TRACTOR
1422232067;AIR TRACTOR INC.
126973322;AIRBUS
276940251;AIRBUS INDUSTRIE
1270753248;AIRCRAFT INDUSTRIES
2431808870;ALBERTO BENEDITO PAULO IRALAH
819236479;ALEXANDER SCHLEICHER
1190893941;ALLIANCE AIRCRAFT
1679668328;ALOIZIO RODRIGUES
2245103906;AMERICAN CHAMPION
2896572452;ANDERSON BRITO SPINELLI
3382530394;ANDRE A.FERDINAND
2195318979;ANDRE ALEXANDRE FERDINAND DE REYNIER
3609633608;ANTONINO MOTA
3040496285;ANTONIO CESAR DA SILVA AMARAL
3282991001;ANTONIO ETTORE NALLIN
277433647;ASTRO TOYS COM. DE BRINQ. LTDA
1709697518;AUGUSTO LUIZ CAMPOS BARROSO
3172671011;AVENOR AUGUSTO MONTANDON
3137567770;AVIONS MUDRY
3389049286;BEECH 55
2314221270;BEECH AIRCRAFT
2835570297;BELL HELICOPTER
2083679652;BOEING
3224697391;BOEING COMPANY
1159818354;BRITTEN-NORMAN
3537183512;CARLOS ALBERTO VALENTE
1971593854;CARLOS EDUARDO NASCIMENTO SEVERO
173788780;CARLOS GERALDINO DA SILVA PADILHA
2517420925;CARLOS GILBERTO FRAGA MARQUES
3130903788;CARLOS HENRIQUE FONSECA DE OLIVEIRA
4053115108;CESSNA AIRCRAFT
513926167;CHALLENGER DO BRASIL
86336950;CHELBER VICENTINI LILISCHKIES
1880241396;CHINCUL SACAIFI
627789513;CHS AMAZONAS IMP E EXP LTDA
133180374;CIA AERONAUTICA PAULISTA
2674848131;CIRRUS DESIGN
2193788341;CLAIBER VIEIRA BORGES
4024658926;CLINICA MEDICA PRIETO & ANTUNES LTDA.
4037339514;CONSOLIDATED
2837490908;DANIEL DO PRADO FERREIRA PINTO
925139300;DANILO JOSE BATTISTELLA
3169966895;DASSAULT AVIATION
1921849711;DENNIS E. MOELLMAN
4023083381;DIAMOND AIRCRAFT
422319250;DIEGO CÂMARA MORAIS
2349305018;DOREEDSON RIBEIRO PEREIRA
2631476036;EADS AIRBUS
1470727784;ECLIPSE AEROSPACE
2241899584;EDEVALDO MARTINS FERREIRA
2534971554;EDRA AERONÁUTICA LTDA
4101167878;EDRA INDUSTRIA AERONAUTICA LTDA
2376525809;EDSON PIMENTEL MATHEUS
1523825444;EDUARDO F. H. GONTIJO
929817391;EDUARDO LEITO BRUNIALTI
3405283471;EIRIAVION
2233384210;ELIAS GUTIERREZ JUNIOR
43859069;EMBRAER
3627763978;EMERSON DE SOUZA PEDRO
2049933554;ERICO BROSSI
345860042;ESC RIB PRET DE PIL VEIC AUTOPROPULSADO
3322408417;EURIPIDES MOURA FERREIRA FILHO
36300882;EUROCOPTER DEUTSCHLAND
987995423;EUROCOPTER FRANCE
4057155440;EXTRA-FLUGZEUGBAU
3069233222;F.C. OLIVEIRA & CIA LTDA
2022878047;FABIANO COSTA
944727931;FABRICACAO PROPRIA
528823673;FABRICANTE DESCONHECIDO
158413387;FABRICAÇÃO PRÓPRIA
1265399941;FAUD MIGUEL D'EPIRO
2544786617;FERNANDO SOARES GURGEL
2319849956;FILIPE LEITE DE AZEVEDO SODRAK
1537463979;FLAVIO BUCHALLA
1477457714;FLAVIO GIMENIS FERNANDES
701841341;FLYER INDUSTRIA AERONAUTICA LTDA
1020347621;FLYER INDÚSTRIA AERONÁUTICA
2328998351;FOKKER
1053218838;FOX V5
2074090477;FRANCISCO BRAGANTE JUNIOR
1846398820;FRANCISCO E.D.
2232488077;GIPPSLAND
1585221424;GLAUCO ANDRE MACHADO - ME
1417801282;GLOBE AIRCRAFT
2810983984;GROB
2567478596;GUIMBAL
1326661454;GULFSTREAM
1737428883;GULFSTREAM AEROSPACE
3574255134;HAMILTON SANTIAGO REIS JUNIOR
2961413243;HAROLDO CARNEIRO LEAO SOBRINHO
591214564;HAWKER BEECHCRAFT
3778394274;HELIBRAS
610085292;HELIO APARECIDO GARDINI
2800689334;HELIO NEGRI FERNANDES
3062591496;HENRIQUE DRUMOND LIMA DE OLIVEIRA
2071060963;HENRIQUE HAMILTON CERQUEIRA SANTOS
804528856;HERMANO VIANNA
1106411281;HONDA  AIRCRAFT COMPANY
1719133165;HOTEL CHAMA LTDA ME
3272418702;HUGHES HELICOPTER
1187091671;IBRAEX COMERCIO E IMPORTACAO DE AERONAVES
688006603;INDÚSTRIA PARANAENSE DE ESTRUTURAS
1069757541;INPAER INDUSTRIA PAULISTA E AERONÁUTICA
793583854;ISMAEL FERNANDES NUNES JUNIOR
3816819770;ISRAEL AIRCRAFT
3377362256;IVAN CESAR ROSSONI
297118212;IVAN MOLCHAN
303184922;JAMAICA EMBALAGEM LTDA
2637876167;JAMES F GUZMAN
1953156946;JIM DICKINSON
400837284;JOAO BATISTA COUTINHO JUNIOR
3697534463;JOAO HENRIQUE SIGNORELLI DRAEGER
1924261026;JOAO L TEIXEIRA
406369308;JOAO LUIZ FAUSTINO
1770674917;JOHN SEELY
3484179369;JOSE ANTONIO ZATTAR JR
3064418233;JOSE CALEIDE
2302974661;JOSE MAINHARDT
5699655;JOSE ROBERTO BARBOSA
1244509114;JOÃO ISMAEL VICENTINI
254276933;JULIO CESAR MANDELLI
2659850061;KAIO AMARAL RANGEL
509690407;KALIL MOHAMAD AWADA
4100703392;KAPPA 77
4112269602;KORTH SIMEON R \t
4077781745;KURT KOFLER
607469730;LABORTEC ENGENHARIA LTDA
3090539993;LAISTER-KAUFFMAN
1011245485;LAKE AIRCRAFT
1788455936;LAVIASA
3653290951;LEARJET
3506368228;LET AIRCRAFT INDUSTRIES
1030653874;LOUIS CRAIG WOODSON HARTMAN
3286520255;LUCIANO LOBAO
3651798250;MARCELO FERNANDES
1484705008;MARCELO QUEIROZ DUARTE
3515924616;MARCO ANTONIO FREITAS JUNIOR
3338997831;MARCO AUGUSTO SCOBOZA GULIN
3374721038;MARCO AURELIO M. DE SOUSA
3311894871;MARCOS AURELIO DA SILVA
4101354298;MARIO CARLOS CARDOSO
1975745084;MAULE AIRCRAFT
4072253164;MAURICIO WIECHMANN CATAI
1887556155;MCDONNELL DOUGLAS
2747151331;MD HELICOPTERS
1907790460;MELO TRANSPORTES E LOGISTICA LTDA
2405831681;MENDES-ADM PARTICIPACOES E EMPREENDIMENTOS LTDA
3176003268;MICROLEVE LTDA
3814736784;MIL HELICOPTER
4170741286;MITSUBISHI
2619433420;MONTAER
64673346;MONTAER LTDA.
1703139169;MOONEY AIRCRAFT
37093759;NEIVA INDUSTRIA AERONAUTICA
4195792118;NILSON ROBERTO YAMAÃ‡AKE
2235344013;NILSON SULZBACH PERES
3887388585;NORTH AMERICAN
1062267609;NORTH LAND
161413148;OGLACIR ALVES SPENCE
2401525515;ORION LTDA
4064702117;PARADISE INDUSTRIA AERONAUTICA LTDA
2242337594;PARADISE INDUSTRIA AERONÁUTICA LTDA
3361578155;PARADISE INDUSTRIA AERONÁUTICA LTDA.
2378071280;PARTICULAR
1110184026;PATRICIA VIEIRA DE MELLO
4058018994;PAULO CESAR CASTRO MOURA
4165982694;PAULO R. M. MAIA
802079151;PETRO JET SALES
4046523328;PIAGGIO AERO INDUSTRIES
1985923150;PILATUS
3625203298;PIPER AIRCRAFT
812338358;POLISAT TRANSPORTE E ARMAZENS GERAIS LTD
205884440;PRISCILA CABRAL FIGUEIREDO
666002974;PZL - MIELEC
3336349875;PZL-BIELSKO
1166844172;PZL-OKECIE
524816244;PZL-SWIDNIK
3024104470;QUEST AIRCRAFT
3060730157;QUINTINO ROMAGNA FILHO
2838148080;RAYTHEON AIRCRAFT
4162079903;ROBERT MOHR
245249110;ROBERTO KELLER
1721939283;ROBERTO VENICIO LIMA DANTAS
853520466;ROBINSON HELICOPTER
1455218224;ROBSON DIAS LIMA
1705003610;ROCKWELL
2320968801;RODRIGO DE QUEIROZ R. COSTA
2533597360;ROGER AGNELLI
3031234915;ROGERS THOMAS
936275557;ROMULO ARAUJO / HUGO FREIRE M JUNIOR
343653634;RUBEM ROCHA SANTANA
2941340926;RUBENS ANTONIO AZEVEDO
2166618554;RUPERT INDUSTRIA AERONAUTICA
2588699385;SAFARI HELICOPTER CO. INTERNATIONAL
1944342322;SCHWEIZER
1963734250;SCODA AERONÁUTICA
3283869969;SEBASTIÃO DE PAULA DO NASCIMENTO
2488415945;SERGIO MAURO
1449339070;SHEMPP-HIRTH FLUGZEUBAU
2150084432;SIKORSKY AIRCRAFT
826377328;SK
3995137533;SLICK AIRCRAFT COMPANY
3331255568;SOCATA
2483235994;SONEX LTDA
203014418;SPS TRADING IMP. E EXPORTADORA LTDA
492099409;STINSON AIRCRAFT
2643617848;SUZANE MARI PIANA
2598508169;TACILLO JACOB FROHLICH
1283976731;TARSO GOROZEVSKI
3159768328;TECNAM CONSTRUZIONI AERONAUTICHE
3122913348;TERRA AMBIENTAL E INCORPORADORA LTDA
1995127618;TEXTRON AVIATION
1658703909;TEXTRON AVIATION INC
852532873;THRUSH AIRCRAFT
3568292206;TOMAS EDSON ANDRADE DA CUNHA
3616850110;TRIKE ICAROS IND. AER. LTDA.
1708207271;TRIKE ICAROS LTDA
492085963;TWIN COMMANDER
1766065304;ULTRALEGER
311778812;VECTOR ULTRALIGHT INDUSTRIA E COMERCIO
3597636406;VERA LUCIA NICIOLI
113131612;VINICIUS MARINI FERREIRA
1332307331;WILLIAM DA SILVA MATIAS
2144086481;XAVANTE
